detection_type,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,discovered,omega,star_distance,star_mass,star_radius,star_age,star_teff
Primary Transit,4.063,1.024,4.124461,0.0494,0.228,87.2,2010,300.0,254.0,0.947,1.105,10.2,5588.0
Primary Transit,2.147,1.08,3.21222,0.0414,0.016,73.6,2010,156.0,82.0,0.916,1.04,12.4,5302.0
Primary Transit,2.09,1.368,1.212884,0.0232,0.106,85.1,2010,118.0,393.0,1.13,1.29,4.0,5924.0
Primary Transit,0.685,1.242,3.35524,0.0465,0.067,88.6,2010,197.0,405.0,1.191,1.317,2.8,6373.0
Primary Transit,0.567,1.19,3.652836,0.0466,0.032,87.6,2010,271.0,297.0,1.01,0.959,3.2,5500.0
Primary Transit,0.0585,0.57,4.234502,0.0479,0.124,87.95,2010,54.0,134.0,0.816,0.788,9.0,5079.0
Primary Transit,,0.1758,6.594,0.0643,,,2024,,134.0,0.816,0.788,9.0,5079.0
Primary Transit,0.66,1.055,3.0395803,0.0403,0.078,85.08,2011,63.0,204.0,0.945,0.898,4.4,5300.0
Primary Transit,,0.3863,1.1994,0.0217,,,2024,,204.0,0.945,0.898,4.4,5300.0
Primary Transit,0.626,1.212,3.257215,0.0434,0.051,88.0,2011,233.0,395.0,1.025,1.103,6.1,5680.0
Primary Transit,0.778,1.107,5.723186,0.0667,0.095,87.1,2011,169.0,322.0,1.207,1.224,2.2,6087.0
Primary Transit,8.74,0.951,5.6334729,0.0674,0.5171,90.0,2007,185.22,118.0,1.34,1.54,2.7,6414.0
Primary Transit,0.723,1.41,2.81060078,0.0412,0.035,82.5,2011,252.0,193.0,1.18,1.33,1.0,6250.0
Primary Transit,2.171,1.07,5.005425,0.055,0.245,87.1,2011,274.3,354.0,1.218,1.36,3.17,6065.0
Primary Transit,0.75,1.789,2.15000825,0.03427,0.044,88.9,2011,,320.0,1.176,1.387,3.8,6001.0
Primary Transit,0.763,1.827,3.474474,0.0503,0.148,86.7,2011,96.0,419.0,1.403,1.777,2.4,6401.0
Primary Transit,3.64,1.142,5.4526482,0.0861,0.441,89.6,2012,20.0,257.0,1.36,1.45,1.7,6509.0
Primary Transit,1.054,1.332,3.646706,0.0498,0.025,87.3,2012,248.0,535.0,1.236,1.435,3.5,6096.0
Primary Transit,1.832,1.264,1.327347,0.0238,0.063,86.0,2012,95.0,317.0,1.022,1.096,6.6,5580.0
Primary Transit,1.169,1.178,2.797436,0.0379,0.058,86.9,2012,164.0,411.0,0.929,0.877,3.6,5500.0
Primary Transit,0.267,0.825,4.640382,0.0523,0.067,88.3,2012,240.0,249.0,0.886,0.923,10.1,5330.0
Primary Transit,0.599,1.571,3.54387,0.0509,,87.0,2012,,642.0,1.404,1.625,2.0,6430.0
Primary Transit,0.591,0.827,2.899703,0.03866,0.0,87.07,2007,,130.0,0.917,0.799,1.6,5224.0
Primary Transit,0.615,1.73,4.457243,0.0608,,88.3,2012,,501.0,1.512,2.206,2.7,6080.0
Primary Transit,0.8,1.685,2.694047,0.0426,,87.7,2012,,348.185,1.32,1.65,2.2,6479.0
Primary Transit,0.975,1.277,4.641876,0.0575,0.0,85.9,2012,,447.0,1.179,1.528,5.1,5743.0
Primary Transit,0.66,1.283,3.332688,0.0443,0.0,88.7,2012,,543.0,1.048,1.104,5.7,5645.0
Primary Transit,0.392,1.28,4.301217,0.0507,0.072,89.0,2013,,374.0,0.939,0.979,8.9,5295.0
Primary Transit,1.6,,219.9,0.699,,,2013,,374.0,0.939,0.979,8.9,5295.0
Primary Transit,0.892,1.426,3.128992,0.0452,0.049,87.8,2013,,305.0,1.259,1.319,2.0,6330.0
Primary Transit,0.493,1.284,4.463129,0.0577,0.123,85.5,2013,,296.0,1.284,1.396,2.5,6120.0
Primary Transit,2.0,,77.7,0.387,,,2013,,296.0,1.284,1.396,2.5,6120.0
Primary Transit,0.206,1.313,4.732182,0.0615,0.0,84.8,2016,,268.0,1.387,1.515,1.5,6703.0
Primary Transit,0.168,1.131,4.40865,0.0543,0.0,86.8,2016,,305.0,1.099,1.223,4.7,5946.0
Primary Transit,1.73,1.448,2.6915575,0.0412,0.0,84.77,2014,,322.0,1.543,1.833,1.5,6820.0
Primary Transit,0.68,1.27,3.0565114,0.0446,0.0,89.67,2007,,310.0,1.26,1.59,4.2,5890.0
Primary Transit,1.36,1.288,3.1220109,0.0453,0.115,83.65,2015,,597.0,1.273,1.698,3.37,6280.0
