detection_type,mass,radius,orbital_period,semi_major_axis,discovered,star_distance,star_mass,star_radius,star_teff
Primary Transit,6.78,1.87,2.74432452,0.04739,2019,329.0,1.89,1.858,8450.0
Primary Transit,1.79,1.51,2.20473825,0.039,2008,320.0,1.51,2.0,6259.0
Primary Transit,1.35,1.42,3.076318,0.0473,2008,211.553,1.285,1.431,6401.79
Primary Transit,0.67,1.4,3.922814,0.053,2008,480.0,1.28,1.32,6350.0
Primary Transit,0.526,0.969,3.312846,0.0449,2015,496.0,1.1,1.105,5880.0
Primary Transit,0.85,1.609,3.619188,0.0507,2016,944.603,1.06,1.462,5871.0
Primary Transit,2.38,0.692,3.142702,0.0441,2016,512.41,1.16,1.17,6357.0
Primary Transit,0.543,1.212,3.0440499,0.04057,2015,476.0,0.962,0.887,5523.0
Primary Transit,1.071,1.039,2.7667641,0.03815,2015,513.0,0.967,0.933,5346.0
Primary Transit,2.17,1.105,1.74748753,0.02712,2014,689.0,0.871,0.922,5311.0
Primary Transit,3.27,1.3,2.686502,0.03744,2015,774.0,0.97,1.238,5738.0
Primary Transit,1.338,0.777,16.254611,0.1308,2016,339.0,1.131,1.091,5846.0
Primary Transit,1.98,1.337,0.8378434,0.01761,2016,645.0,1.037,1.02,5600.0
Primary Transit,0.427,1.66,4.569673,0.0589,2016,780.0,1.303,1.74,5896.0
Primary Transit,1.855,1.302,3.446459,0.0444,2012,303.0,0.986,1.038,5870.0
Primary Transit,0.273,0.776,3.7992969,0.04619,2016,454.0,0.91,0.892,5406.0
Primary Transit,0.332,1.123,3.5543973,0.04676,2016,286.0,1.08,1.021,5695.0
Primary Transit,2.74,0.953,4.7228124,0.05025,2016,207.9,0.759,0.689,4803.0
Primary Transit,1.47,1.86,2.1605156,0.03397,2015,747.0,1.121,1.199,5780.0
Primary Transit,2.44,1.487,1.3484954,0.02547,2016,510.0,1.212,1.172,6346.0
Primary Transit,0.613,1.26,4.2986432,0.05163,2016,466.0,0.994,1.107,5715.0
Primary Transit,0.65,1.75,3.3023881,0.04735,2016,907.0,1.299,2.04,6071.0
Primary Transit,0.53,1.5,4.637038,0.0611,2016,840.0,1.415,1.74,6438.0
Primary Transit,0.672,1.194,3.1810781,0.04131,2016,521.0,0.929,0.922,5498.0
Primary Transit,0.653,1.251,4.6058749,0.05475,2016,351.0,1.032,1.073,5670.0
Primary Transit,1.345,1.168,1.354133,0.023,2013,360.0,0.882,0.898,5227.0
Primary Transit,0.706,1.175,3.1743516,0.04354,2016,339.0,1.093,1.061,5943.0
Primary Transit,0.88,1.64,3.37796,0.0478,2016,872.0,1.275,1.87,6050.0
Primary Transit,0.92,1.249,2.8126548,0.04024,2016,839.0,1.099,1.097,5700.0
Primary Transit,1.192,1.23,2.5495551,0.03727,2016,355.0,1.062,1.022,5659.0
Primary Transit,0.941,1.43,2.1061607,0.03166,2016,532.0,0.955,0.98,5380.0
Primary Transit,1.222,1.464,1.8209933,0.03199,2016,557.0,1.317,1.433,6300.0
Primary Transit,2.79,1.153,4.175186,0.0523,2018,878.65,1.1,1.1,5950.0
Primary Transit,0.099,0.606,4.3315366,0.04913,2020,211.1,0.843,0.877,5326.0
Primary Transit,0.074,0.614,4.375021,0.05036,2020,347.7,0.89,1.105,5732.0
Primary Transit,0.63,1.57,4.5776348,0.06,2018,773.0,1.379,1.621,6572.0
Primary Transit,1.071,1.381,3.547851,0.0485,2013,453.0,1.209,1.404,6351.0
Primary Transit,1.59,1.58,3.2642736,0.04997,2018,1431.0,1.56,2.26,6460.0
Primary Transit,9.7,1.33,4.193649,0.0583,2018,800.0,1.496,1.71,6424.0
Primary Transit,1.88,1.4,2.292102,0.03689,2018,942.0,1.273,1.48,6060.0
Primary Transit,0.261,1.18,4.3888497,0.04944,2017,341.0,0.837,0.812,5099.0
Primary Transit,0.56,1.067,2.7439004,0.03649,2017,463.0,0.86,0.847,5080.0
Primary Transit,0.7,1.286,4.1876244,0.05511,2017,818.0,1.272,1.315,6450.0
Primary Transit,0.173,0.903,4.7423729,0.05367,2017,448.0,0.917,0.853,5495.0
Primary Transit,0.369,1.117,3.9228038,0.04269,2020,301.7,0.674,0.6564,4512.0
Primary Transit,0.243,0.8,3.1316666,0.03769,2020,265.4,0.7279,0.7152,4546.0
Primary Transit,0.353,0.765,4.1480467,0.04515,2020,324.6,0.7133,0.6977,4405.0
Primary Transit,1.323,1.02,2.516729,0.0362,2014,420.0,1.001,0.925,5403.0
Primary Transit,0.39,1.13,3.8297015,0.05046,2017,717.0,1.168,1.117,5990.0
Primary Transit,0.768,1.41,3.3488702,0.04639,2017,478.0,1.187,1.44,5758.0
Primary Transit,2.24,1.382,1.3665436,0.02498,2017,631.0,1.111,1.046,6010.0
Primary Transit,0.595,1.34,3.8537768,0.04753,2017,613.0,0.964,1.1,5644.0
Primary Transit,0.753,1.015,2.5441765,0.037,2018,720.0,1.05,1.23,5621.0
Primary Transit,0.921,1.251,,0.05412,2018,623.6,1.1955,1.126,6214.0
Primary Transit,0.602,1.688,4.324799,0.06043,2018,577.1,1.573,2.201,6536.0
Primary Transit,3.147,1.13,2.350621,0.03493,2018,280.0,1.026,0.96,5587.0
Primary Transit,1.03,1.095,4.2180896,0.05798,2018,492.0,1.461,1.433,7175.0
Primary Transit,0.806,1.126,5.416081,0.06112,2018,654.0,1.038,1.036,5670.0
Primary Transit,0.237,0.912,4.763387,0.0542,2014,257.0,0.936,0.871,5304.0
Primary Transit,0.662,1.153,3.560829,0.04708,2018,494.7,1.1,1.46,5690.0
Primary Transit,3.4,1.195,7.817953,0.07908,2018,694.2,1.075,1.667,5541.0
Primary Transit,0.179,1.055,3.2768837,0.04163,2018,515.9,0.911,0.923,5435.0
Primary Transit,0.96,1.207,3.0566527,0.04026,2018,634.4,0.931,1.07,5626.0
Primary Transit,0.96,1.679,4.908897,0.06562,2018,1087.0,1.562,2.113,6560.0
Primary Transit,0.821,1.501,3.105161,0.04497,2018,491.0,1.269,1.296,6276.0
Primary Transit,5.33,1.411,3.1414391,0.04714,2018,1542.0,1.406,1.851,6606.0
Primary Transit,1.45,1.685,1.6091788,0.03032,2018,983.0,1.44,1.44,6605.0
Primary Transit,1.29,1.2321,3.5862202,0.05071,2018,619.0,1.337,1.769,6122.0
Primary Transit,0.577,0.945,2.2252577,0.03211,2018,420.3,0.892,0.8785,5137.0
Primary Transit,0.319,0.998,3.3252725,0.03623,2014,148.4,0.574,0.57,3724.0
Primary Transit,12.9,1.384,1.8882378,0.03632,2018,1307.0,1.78,1.88,7930.0
Primary Transit,0.45,1.08,3.7955213,0.03946,2018,140.68,0.569,0.5161,3254.0
Primary Transit,0.1254,0.7224,7.3279474,0.066517,2020,127.66,0.7311,0.7214,4656.1
Primary Transit,1.46,1.032,1.73185606,0.02384,2021,286.6,0.6,0.5758,3776.9
Primary Transit,0.491,0.884,2.7886556,0.032742,2021,195.3,0.6017,0.5848,3790.4
Primary Transit,2.629,1.079,1.9416423,0.02658,2021,390.0,0.662,0.626,4016.0
Primary Transit,1.374,1.165,3.0876262,0.03607,2021,414.0,0.655,0.643,4071.0
Primary Transit,0.12,0.563,3.185315,0.04012,2015,257.0,0.849,0.815,4985.0
Primary Transit,0.138,0.873,3.583893,0.04667,2015,829.0,1.056,1.086,5679.0
Primary Transit,0.839,1.236,1.915291,0.0312,2015,654.36,1.1,1.56,5599.0
Primary Transit,,0.08529,4.46569,0.046,2024,12.8,0.653,0.63,4633.0
Primary Transit,,0.0883,6.20401,0.0573,2024,12.8,0.653,0.63,4633.0
Primary Transit,2.1,,1043.0,2.335,2014,,1.56,,5034.0
Primary Transit,0.03964,0.218,9.55237,0.0907,2017,109.0,1.09,1.3,6327.0
Primary Transit,0.04782,0.388,21.05704,0.1536,2017,109.0,1.09,1.3,6327.0
Primary Transit,,0.14149,3.79523,0.0469,2020,64.6,0.853,0.894,5720.0
Primary Transit,,0.1845,6.2037,0.0651,2020,64.6,0.853,0.894,5720.0
Primary Transit,,0.2427,14.17555,0.1131,2020,64.6,0.853,0.894,5720.0
Primary Transit,,0.2783,19.5917,0.14,2020,64.6,0.853,0.894,5720.0
Primary Transit,,0.17995,29.54115,0.1758,2020,64.6,0.853,0.894,5720.0
Primary Transit,0.0179,0.19627,9.113678,0.0793,2023,32.22,0.798,0.788,5266.0
